date,year,low,second,third,fourth,high,powerball
2/3/2010,2010,17,22,36,37,52,24
2/6/2010,2010,14,22,52,54,59,4
2/10/2010,2010,5,8,29,37,38,34
2/13/2010,2010,10,14,30,40,51,1
2/17/2010,2010,7,8,19,26,36,15
2/20/2010,2010,13,27,37,41,54,32
2/24/2010,2010,4,17,35,50,57,12
2/27/2010,2010,18,47,51,53,58,30
3/3/2010,2010,7,9,14,45,49,23
3/6/2010,2010,10,29,33,41,59,15
3/10/2010,2010,17,21,37,41,50,1
3/13/2010,2010,6,16,20,31,36,8
3/17/2010,2010,24,26,45,48,55,8
3/20/2010,2010,9,36,39,44,45,9
3/24/2010,2010,14,20,24,39,49,7
3/27/2010,2010,7,21,32,44,52,10
3/31/2010,2010,5,13,17,45,54,12
4/3/2010,2010,10,15,31,52,59,4
4/7/2010,2010,4,26,40,44,52,33
4/10/2010,2010,21,22,49,52,58,34
4/14/2010,2010,6,14,32,38,52,20
4/17/2010,2010,5,21,22,41,49,15
4/21/2010,2010,11,34,41,49,55,20
4/24/2010,2010,1,12,53,56,57,5
4/28/2010,2010,12,22,25,28,44,24
5/1/2010,2010,16,23,25,49,58,20
5/5/2010,2010,13,34,40,47,57,11
5/8/2010,2010,5,22,34,41,57,31
5/12/2010,2010,37,51,52,53,58,38
5/15/2010,2010,15,21,23,28,36,20
5/19/2010,2010,2,7,29,55,58,27
5/22/2010,2010,19,20,40,47,57,29
5/26/2010,2010,1,6,10,13,20,32
5/29/2010,2010,1,3,24,28,41,10
6/2/2010,2010,4,9,14,39,43,38
6/5/2010,2010,18,34,40,48,59,25
6/9/2010,2010,14,22,27,32,49,5
6/12/2010,2010,9,12,13,35,38,30
6/16/2010,2010,8,11,18,29,36,6
6/19/2010,2010,9,31,31,50,54,39
6/23/2010,2010,11,30,45,47,48,10
6/26/2010,2010,13,30,32,38,57,25
6/30/2010,2010,6,38,43,47,48,27
7/3/2010,2010,3,10,14,52,53,3
7/7/2010,2010,10,41,44,48,56,4
7/10/2010,2010,20,21,27,28,56,4
7/14/2010,2010,20,21,23,38,42,6
7/17/2010,2010,22,27,35,37,45,3
7/21/2010,2010,16,22,30,51,58,25
7/24/2010,2010,20,30,38,46,59,27
7/28/2010,2010,1,11,20,25,27,2
7/31/2010,2010,1,16,17,41,57,15
8/4/2010,2010,19,28,30,37,53,36
8/7/2010,2010,4,22,26,31,52,30
8/11/2010,2010,7,10,22,23,52,29
8/14/2010,2010,9,33,36,50,58,31
8/18/2010,2010,4,32,33,47,55,39
8/21/2010,2010,7,10,12,22,27,26
8/25/2010,2010,16,17,29,31,36,23
8/28/2010,2010,4,22,27,32,56,13
9/1/2010,2010,17,20,21,40,51,19
9/4/2010,2010,11,14,22,33,42,38
9/8/2010,2010,10,35,39,51,57,20
9/11/2010,2010,7,17,20,36,59,33
9/15/2010,2010,7,20,21,34,43,34
9/18/2010,2010,1,18,37,39,49,13
9/22/2010,2010,10,24,36,52,55,15
9/25/2010,2010,8,16,27,35,42,30
9/29/2010,2010,13,44,51,52,55,30
10/2/2010,2010,12,20,30,36,47,25
10/6/2010,2010,14,26,37,41,46,24
10/9/2010,2010,2,6,32,42,49,35
10/13/2010,2010,12,22,32,34,46,2
10/16/2010,2010,11,12,15,16,28,11
10/20/2010,2010,7,17,20,39,59,17
10/23/2010,2010,2,7,16,20,46,34
10/27/2010,2010,20,24,25,53,59,15
10/30/2010,2010,1,7,27,36,49,39
11/3/2010,2010,34,38,39,45,50,33
11/6/2010,2010,7,12,23,34,38,33
11/10/2010,2010,5,8,11,40,44,10
11/13/2010,2010,17,30,48,51,54,29
11/17/2010,2010,14,16,53,54,59,5
11/20/2010,2010,10,12,38,53,57,1
11/24/2010,2010,8,20,21,32,37,4
11/27/2010,2010,10,30,37,47,54,39
12/1/2010,2010,5,10,11,12,20,2
12/4/2010,2010,13,24,27,31,42,22
12/8/2010,2010,8,11,25,41,58,16
12/11/2010,2010,1,8,10,19,20,23
12/15/2010,2010,10,11,18,32,45,18
12/18/2010,2010,4,11,19,33,43,14
12/22/2010,2010,11,33,44,46,47,12
12/25/2010,2010,1,17,38,50,52,24
12/29/2010,2010,3,16,18,20,37,30
1/1/2011,2011,18,22,37,47,54,36
1/5/2011,2011,22,26,32,38,40,7
1/8/2011,2011,6,7,26,33,52,24
1/12/2011,2011,19,21,23,40,48,27
1/15/2011,2011,9,13,22,23,37,31
1/19/2011,2011,22,36,51,56,59,32
1/22/2011,2011,30,31,34,45,51,23
1/26/2011,2011,4,5,36,47,58,6
1/29/2011,2011,24,28,45,49,52,2
2/2/2011,2011,3,14,33,53,57,36
2/5/2011,2011,15,37,41,56,59,5
2/9/2011,2011,7,11,39,42,51,30
2/12/2011,2011,11,32,36,48,52,19
2/16/2011,2011,9,13,21,23,48,24
2/19/2011,2011,3,12,34,37,42,36
2/23/2011,2011,29,32,36,39,49,29
2/26/2011,2011,4,13,17,21,45,10
3/2/2011,2011,7,31,50,51,58,6
3/5/2011,2011,2,23,31,42,48,21
3/9/2011,2011,12,20,28,40,48,8
3/12/2011,2011,1,4,12,41,47,3
3/16/2011,2011,28,39,40,48,53,9
3/19/2011,2011,3,11,20,27,46,8
3/23/2011,2011,5,15,26,28,32,9
3/26/2011,2011,4,10,11,19,33,27
3/30/2011,2011,19,20,42,56,58,37
4/2/2011,2011,6,22,34,43,45,23
4/6/2011,2011,10,18,41,55,56,15
4/9/2011,2011,5,14,32,53,56,11
4/13/2011,2011,4,23,39,49,50,39
4/16/2011,2011,21,33,44,45,55,7
4/20/2011,2011,9,24,34,36,43,27
4/23/2011,2011,3,11,47,48,58,19
4/27/2011,2011,4,24,40,44,55,5
4/30/2011,2011,6,13,15,32,41,3
5/4/2011,2011,3,15,27,29,41,24
5/7/2011,2011,2,11,27,47,55,15
5/11/2011,2011,9,17,32,43,45,31
5/14/2011,2011,8,17,18,40,44,16
5/18/2011,2011,7,12,13,42,49,16
5/21/2011,2011,2,8,40,49,50,36
5/25/2011,2011,4,23,31,42,50,23
5/28/2011,2011,12,20,43,51,55,11
6/1/2011,2011,8,18,38,46,56,31
6/4/2011,2011,17,19,39,41,58,21
6/8/2011,2011,14,37,44,45,53,29
6/11/2011,2011,16,18,27,36,50,8
6/15/2011,2011,19,20,38,41,43,29
6/18/2011,2011,12,21,22,38,41,18
6/22/2011,2011,12,15,19,46,59,12
6/25/2011,2011,18,36,39,41,57,12
6/29/2011,2011,24,30,45,57,59,26
7/2/2011,2011,1,11,18,29,51,32
7/6/2011,2011,11,15,24,50,55,8
7/9/2011,2011,1,9,11,23,31,6
7/13/2011,2011,8,18,19,32,54,8
7/16/2011,2011,24,28,48,50,54,25
7/20/2011,2011,1,4,38,40,42,17
7/23/2011,2011,1,7,27,38,48,30
7/27/2011,2011,38,40,41,51,59,33
7/30/2011,2011,20,40,41,47,55,19
8/3/2011,2011,13,19,21,28,49,11
8/6/2011,2011,25,30,54,57,59,6
8/10/2011,2011,11,18,36,41,46,38
8/13/2011,2011,9,12,35,50,58,4
